code,name,price_eur,status
2226 Moon Rake -HTF,2226 Moon Rake -HTF,7.41,active
2227 VuDu U Think U R -HTF,2227 VuDu U Think U R -HTF,7.41,active
2228 Spilt Wine -HTF,2228 Spilt Wine -HTF,7.41,active
2229 Blue Bean -HTF,2229 Blue Bean -HTF,7.41,active
223 Starlet Blue -HTF,223 Starlet Blue -HTF,7.41,active
2230 Smalty -HTF,2230 Smalty -HTF,7.41,active
2231 Pennyless -HTF,2231 Pennyless -HTF,7.41,active
2232 Bahama Blue -HTF,2232 Bahama Blue -HTF,7.41,active
2233 Astronaut in the Ocean -HTF,2233 Astronaut in the Ocean -HTF,7.41,active
225 Bevok -HTF,225 Bevok -HTF,7.41,active
226 Show Off -HTF,226 Show Off -HTF,7.41,active
227 Lifes A Beach -HTF,227 Lifes A Beach -HTF,7.41,active
23 Jupe-Jupe -HTF,23 Jupe-Jupe -HTF,7.41,active
2300 In the Shallows -HTF,2300 In the Shallows -HTF,7.41,active
"2301 Marry Me, Please -HTF","2301 Marry Me, Please -HTF",7.41,active
2303 Blou Berg Strand -HTF,2303 Blou Berg Strand -HTF,7.41,active
2304 Coral Me Red -HTF,2304 Coral Me Red -HTF,7.41,active
2305 Genderless Barney -HTF,2305 Genderless Barney -HTF,7.41,active
2306 My Favourite Sweater -HTF,2306 My Favourite Sweater -HTF,7.41,active
2307 Japanese Spring -HTF,2307 Japanese Spring -HTF,7.41,active
2308 Tealy Blue -HTF,2308 Tealy Blue -HTF,7.41,active
2309 I Do -HTF,2309 I Do -HTF,7.41,active
2310 Pollen Attack -HTF,2310 Pollen Attack -HTF,7.41,active
2311 Calypso -HTF,2311 Calypso -HTF,7.41,active
2312 Tiny Splash -HTF,2312 Tiny Splash -HTF,7.41,active
2313 Bling Blue Bloom -HTF,2313 Bling Blue Bloom -HTF,7.41,active
2314 Hold your Breath Barney -HTF,2314 Hold your Breath Barney -HTF,7.41,active
2315 Pink Polka Bikini -HTF,2315 Pink Polka Bikini -HTF,7.41,active
2316 Am I Ferrari Red -HTF,2316 Am I Ferrari Red -HTF,7.41,active
2317 Snowy Flakes -HTF,2317 Snowy Flakes -HTF,7.41,active
2318 Ciel Blue Bliss -HTF,2318 Ciel Blue Bliss -HTF,7.41,active
2319 Iris Intensity -HTF,2319 Iris Intensity -HTF,7.41,active
2320 Orchid Obsession -HTF,2320 Orchid Obsession -HTF,7.41,active
2321 Twilight Tincture -HTF,2321 Twilight Tincture -HTF,7.41,active
2322 Amathyst Awakening -HTF,2322 Amathyst Awakening -HTF,7.41,active
2323 Maraschino Maven -HTF,2323 Maraschino Maven -HTF,7.41,active
2324 Petrol Pearl -HTF,2324 Petrol Pearl -HTF,7.41,active
2325 Violet Veil of Glitz -HTF,2325 Violet Veil of Glitz -HTF,7.41,active
2326 Firework Flicker -HTF,2326 Firework Flicker -HTF,7.41,active
2327 Cherry Confetti -HTF,2327 Cherry Confetti -HTF,7.41,active
2328 Glittering Grape Galaxy -HTF,2328 Glittering Grape Galaxy -HTF,7.41,active
2329 Lavender Luster -HTF,2329 Lavender Luster -HTF,7.41,active
2330 Twinkling Twighlight Lagoon -HTF,2330 Twinkling Twighlight Lagoon -HTF,7.41,active
2331 Electric Magenta -HTF,2331 Electric Magenta -HTF,7.41,active
2332 Back Off -HTF,2332 Back Off -HTF,7.41,active
24 Pink-A-Boo -HTF,24 Pink-A-Boo -HTF,7.41,active
2400 Bachalorette Party -HTF,2400 Bachalorette Party -HTF,7.41,active
2401 Sister of the Bride -HTF,2401 Sister of the Bride -HTF,7.41,active
2402 Mother of the Bride -HTF,2402 Mother of the Bride -HTF,7.41,active
2403 Flowergirl -HTF,2403 Flowergirl -HTF,7.41,active
2404 Daddys Girl -HTF,2404 Daddys Girl -HTF,7.41,active
2405 Never a Bride -HTF,2405 Never a Bride -HTF,7.41,active
2406 Always a Bridemaid -HTF,2406 Always a Bridemaid -HTF,7.41,active
2407 Iceberg -HTF,2407 Iceberg -HTF,7.41,active
2409 Bad Boy Blue -HTF,2409 Bad Boy Blue -HTF,7.41,active
2410 If Ever There Was -HTF,2410 If Ever There Was -HTF,7.41,active
2411 Jacaranda -HTF,2411 Jacaranda -HTF,7.41,active
2412 Vanilla Bean -HTF,2412 Vanilla Bean -HTF,7.41,active
2413 Indecisive -HTF,2413 Indecisive -HTF,7.41,active
2414 Pink Lemonade -HTF,2414 Pink Lemonade -HTF,7.41,active
2415 Sweet 16 -HTF,2415 Sweet 16 -HTF,7.41,active
2416 Them Pearls -HTF,2416 Them Pearls -HTF,7.41,active
2417 She Pearl -HTF,2417 She Pearl -HTF,7.41,active
2418 He Pearls -HTF,2418 He Pearls -HTF,7.41,active
2419 Dipsy -HTF,2419 Dipsy -HTF,7.41,active
2420 Pink Smarty -HTF,2420 Pink Smarty -HTF,7.41,active
2421 Fashionable Fuchs -HTF,2421 Fashionable Fuchs -HTF,7.41,active
2422 Mango Mania -HTF,2422 Mango Mania -HTF,7.41,active
2423 Peaceful Surrender -HTF,2423 Peaceful Surrender -HTF,7.41,active
2424 BulBaSaur -HTF,2424 BulBaSaur -HTF,7.41,active
2425 Frozen Nemo -HTF,2425 Frozen Nemo -HTF,7.41,active
2426 Tinky Winky -HTF,2426 Tinky Winky -HTF,7.41,active
2427 Chop Hop -HTF,2427 Chop Hop -HTF,7.41,active
