sku,colorFamily,imageUrl
GIUP-112,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-112.jpg
GIUP-113,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-113.jpg
GIUP-114,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-114.jpg
GIUP-115,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-115.jpg
GIUP-116,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-116.jpg
GIUP-117,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-117.jpg
GIUP-118,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-118.jpg
GIUP-119,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-119.jpg
GIUP-120,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-120.jpg
GIUP-121,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-121.jpg
GIUP-122,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-122.jpg
GIUP-123,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-123.jpg
GIUP-124,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-124.jpg
GIUP-125,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-125.jpg
GIUP-126,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-126.jpg
GIUP-127,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-127.jpg
GIUP-128,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-128.jpg
GIUP-129,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-129.jpg
GIUP-130,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-130.jpg
GIUP-132,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-132.jpg
GIUP-133,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-133.jpg
GIUP-134,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-134.jpg
GIUP-135,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-135.jpg
GIUP-136,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-136.jpg
GIUP-137,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-137.jpg
GIUP-140,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-140.jpg
GIUP-141,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-141.jpg
GIUP-142,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-142.jpg
GIUP-143,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-143.jpg
GIUP-144,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-144.jpg
GIUP-145,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-145.jpg
GIUP-146,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-146.jpg
GIUP-147,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-147.jpg
GIUP-148,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-148.jpg
GIUP-149,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-149.jpg
GIUP-150,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-150.jpg
GIUP-151,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-151.jpg
GIUP-152,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-152.jpg
GIUP-153,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-153.jpg
GIUP-154,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-154.jpg
GIUP-155,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-155.jpg
GIUP-156,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-156.jpg
GIUP-160,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-160.jpg
GIUP-161,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-161.jpg
GIUP-162,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-162.jpg
GIUP-163,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-163.jpg
GIUP-164,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-164.jpg
GIUP-165,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-165.jpg
GIUP-166,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-166.jpg
GIUP-200,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-200.jpg
GIUP-201,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-201.jpg
GIUP-202,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-202.jpg
GIUP-203,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-203.jpg
GIUP-204,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-204.jpg
GIUP-205,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-205.jpg
GIUP-206,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-206.jpg
GIUP-207,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-207.jpg
GIUP-208,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-208.jpg
GIUP-209,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-209.jpg
GIUP-210,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-210.jpg
GIUP-211,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-211.jpg
GIUP-212,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-212.jpg
GIUP-213,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-213.jpg
GIUP-214,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-214.jpg
GIUP-215,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-215.jpg
GIUP-216,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-216.jpg
GIUP-217,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-217.jpg
GIUP-218,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-218.jpg
GIUP-219,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-219.jpg
